"CJ01A1_cov.sum","INRA.310_cov.sum","P10297_cov.sum","P1569_cov.sum","P1976_cov.sum"
"PITG_00112",21.4660695357449,21.1723008331342,15.287543209066,41.2651073476892,10.5453723722436
"PITG_00113",15.6038680994988,15.4132577006397,10.5724937013231,32.3034417976763,7.61520130661719
"PITG_00114",0,0.232280219436545,0.267649666984089,0.677755674545958,0.369836353716895
"PITG_00115",79.7122610132112,95.0454216147797,63.142905064042,196.892231024292,50.0994612603244
"PITG_00116",38.6138853521005,38.3194837711838,31.1825752173011,86.1510713374179,20.4010330468751
"PITG_00117",57.7517342631715,59.6472314623253,52.8897346439437,126.131497108406,35.5089524847015
"PITG_00118",42.2006593587813,40.4122699466287,37.2099851826244,66.0911116435586,11.7344988956725
"PITG_00119",0.239682979475439,0.640105834500107,0.462211702268449,0.795946569747804,0.0702714700760024
"PITG_00121",13.4486466158724,14.2194995635456,14.8260142280232,35.4170255713045,7.67157192847567
"PITG_00122",22.9599329404487,20.7764417938665,19.3377589844457,47.9830130384598,10.777200827009
"PITG_00123",9.73602516109454,8.76231682442982,10.0516787902557,34.2961689442977,5.95508552643324
"PITG_00124",55.9284919432319,52.1863364854698,45.2203431531052,136.887733639631,35.186716552732
"PITG_00125",46.3193258932874,48.6193941560748,45.0204584951196,119.151414228385,24.7642158094262
"PITG_00126",0.479280467094873,0,0.195451562972097,0.614718218626322,0
"PITG_00127",38.8132617056744,40.3735748418211,33.0576507322081,97.7571176491898,23.0170971543275
"PITG_00128",52.0355496114611,56.356077137158,41.8275285587189,123.637501876468,25.7501739637339
"PITG_00129",65.5215399320123,66.7955037588569,54.3304932020829,152.806113353519,33.1470320390259
"PITG_00130",75.5434680061423,71.9681193737231,59.813711464583,165.41821287365,39.5537588732755
"PITG_00131",24.4936974381355,27.1057925530198,22.3990049084051,57.5380287159234,13.3309691051628
"PITG_00132",64.3718785789064,61.8031050574193,52.2648987234225,144.373925596312,32.5274931303017
"PITG_00133",37.3834553795105,38.376448910379,33.7498969796231,92.5166843488907,21.494140655394
"PITG_00134",61.3448360022651,64.4603671794307,50.2513228730996,135.435789509126,34.4840041064343
"PITG_00135",38.3385807966184,43.4600871302084,36.7808579939473,82.7684457336056,23.6202589788176
"PITG_00136",2.46231568264686,0.0900691601908799,1.68959717224232,2.69177950200647,1.12719939794108
"PITG_00137",8.40543608137101,15.8210548744759,3.68128566692059,14.150440572364,8.19011256730792
"PITG_00138",36.2170831140597,36.2233076569983,28.503050991189,87.1116150795091,19.4425304764833
"PITG_00139",60.9524542365609,49.4325869953103,44.0906716838753,134.67681617969,32.655712469542
"PITG_00140",42.0804670328077,53.2425693438347,41.4540588503588,108.099713349223,24.9824070168495
"PITG_00141",51.0934224373152,59.8578793697234,46.9875457944279,126.496370216943,30.710902821889
"PITG_00142",71.6655260538218,83.2193001633012,63.8720556909349,171.247297538926,44.7430476772472
"PITG_00143",46.4432308071413,37.4729483199115,40.118160043513,104.374882802138,20.9539374880062
"PITG_00144",67.479159680805,74.8994679093339,57.2002077509684,156.274808554575,36.9249571261106
"PITG_00145",92.6014510401533,99.2917270442092,78.2688682808027,230.891335122341,47.3868418342488
"PITG_00146",58.0776436176357,66.3599459998606,52.0708141520366,136.823651414595,34.0578817697255
"PITG_00147",39.6296632625543,41.0220456012158,37.8059839021099,92.3449022889383,23.9284266763887
"PITG_00148",48.0633336741085,47.5483049268788,43.3015349944692,125.093764086307,27.7265646701377
"PITG_00149",52.1345167525631,59.8728544301799,45.1113854535318,120.172198963815,30.2729204603672
"PITG_00150",23.215927475505,29.0401896364716,21.8760862542444,52.6366865272116,12.6602079869673
