"X06_3928A_cov.sum","P17777_cov.sum"
"PITG_00159",63.6854404089195,74.2249541982862
"PITG_00160",66.7913195782434,72.8007486957564
"PITG_00162",100.377581928635,102.509433088557
"PITG_00163",72.4658682481439,77.3001881953375
"PITG_00164",59.8000720218838,65.2331817896635
"PITG_00165",68.1811386628547,73.208455734349
"PITG_00166",69.7906406966382,76.1408423716705
"PITG_00167",60.5631029079135,73.2623899396129
"PITG_00169",64.7965536641269,71.6197903669516
"PITG_00170",67.6769939753893,64.1834847190983
"PITG_00171",61.272299469051,70.8011573323569
"PITG_00172",55.2383901663469,69.8796256951395
"PITG_00173",77.3948899429075,76.9346181628415
"PITG_00174",81.1034609453702,83.9227129761734
"PITG_00175",78.3604885712522,80.4620459379844
"PITG_00176",70.6284848102504,75.0634656906469
"PITG_00177",62.962602744729,65.1017481711432
"PITG_00178",61.7577053159758,70.4415436946085
"PITG_00179",59.3821038353232,70.1968209806665
"PITG_00180",57.1530824196718,75.304533499516
"PITG_00181",76.6169730599089,75.9171286198155
"PITG_00182",56.6632646942299,61.6285317891481
"PITG_00183",66.3674013184671,71.3419629876003
"PITG_00184",64.425101512294,65.4130066279544
"PITG_00185",69.7846852755238,75.6609519078812
"PITG_00186",53.3136011130084,62.128068215613
"PITG_00187",67.1112698975854,72.3126828392177
"PITG_00188",70.0120176341981,81.0865934942364
"PITG_00189",69.3829428748497,72.604363314211
"PITG_00190",68.5322724914071,68.5442075077047
"PITG_00191",65.156921562515,82.9479909534795
"PITG_00192",74.1074291763887,80.0791378371219
"PITG_00193",69.6963927758728,78.2953772114018
"PITG_00194",58.0215992302245,67.5614799105595
"PITG_00195",71.4306592514976,67.7918015320939
"PITG_00196",68.0710811588367,74.9569836556586
"PITG_00197",65.6139583693148,69.9314596413782
"PITG_00198",64.4635648208599,101.095114015434
"PITG_00200",67.5280607176093,73.0273232201329
"PITG_00201",59.6718048556934,68.5598400495807
"PITG_00202",67.4088675494948,73.0103603983402
"PITG_00203",66.7958707761001,83.3101088282412
"PITG_00204",67.261203796624,69.363726700761
"PITG_00205",59.0428251568382,60.3112956252388
"PITG_00206",65.3272573744033,83.0747977067505
"PITG_00207",62.6687892226438,68.9850891059662
"PITG_00208",64.8850758606854,68.0159578149092
"PITG_00209",63.3174906706689,72.9883929466126
"PITG_00210",74.4405364693484,79.0198231503241
"PITG_00211",71.4733417445269,78.2201052016386
"PITG_00212",64.5811609836953,70.3783408339654
"PITG_00213",56.8434603726322,60.105421445426
"PITG_00214",57.3169561670569,68.7357729197344
"PITG_00215",65.6038231860258,71.7812600350032
"PITG_00216",50.7081486745965,63.3194530130024
"PITG_00217",65.8854599357792,72.8697463968203
"PITG_00218",63.5284070786675,67.2362644039649
"PITG_00219",75.1090938917664,76.3783713233869
"PITG_00220",68.7870764438508,69.8390605949582
"PITG_00221",62.4714954808054,70.5456762626888
"PITG_00222",58.6836620195588,65.1051252094084
"PITG_00223",70.4067441699381,75.6647022076765
"PITG_00224",70.5648710741932,74.020663002667
"PITG_00225",70.8076527357294,72.5317619568276
"PITG_00226",64.7543821148758,69.8613164522132
"PITG_00227",68.26345540638,74.8736155168306
"PITG_00228",70.1726410644125,76.7346033570701
"PITG_00229",64.7185039520277,70.0580694005688
"PITG_00230",69.4038696251231,69.3519351577776
"PITG_00231",63.9418699235978,72.4170030408164
"PITG_00232",55.0094334713173,71.2408540704774
"PITG_00233",62.3849732184817,68.8261800717799
"PITG_00234",50.2113879536369,56.6396311236709
"PITG_00235",51.7504208384234,77.322426910236
"PITG_00236",54.9228230877568,64.575848751243
"PITG_00237",65.6109976969614,66.8551766322697
"PITG_00238",54.2981743936761,57.9065886806131
"PITG_00240",62.2387513270957,69.7592107315921
"PITG_00241",73.8531332245393,68.4879919758478
"PITG_00244",66.2270831853542,67.5905755542761
"PITG_00245",66.4761304226763,75.8003805533738
"PITG_00246",120.540306532287,70.4870659417139
"PITG_00247",75.2387867956936,48.4279784363659
"PITG_00248",59.8402865945499,57.784045786566
"PITG_00249",57.9102738498415,65.6995991402669
"PITG_00250",66.8040888555512,71.6930814879074
"PITG_00251",70.8947367717228,79.9233385852379
"PITG_00252",52.1055940061592,64.2350534993468
"PITG_00253",70.6258912891512,75.6695571336186
